"","Sample_3TR","Sample_9TR","Sample_21TR","Sample_24TR","Sample_31TR","Sample_32TR","Sample_38TR","Sample_41TR","Sample_43TR","Sample_49TR","Sample_50TR"
"ENSG00000000003.14",370,276,179,166,337,379,316,245,244,212,245
"ENSG00000000005.5",15,7,26,27,24,55,19,5,11,18,46
"ENSG00000000419.12",610,526,543,486,600,991,512,475,516,556,668
"ENSG00000000457.13",405,356,266,261,344,376,385,212,346,363,302
"ENSG00000000460.16",135,126,80,98,91,161,104,74,122,126,115
"ENSG00000000938.12",192,929,388,458,288,1065,281,272,250,235,268
"ENSG00000000971.15",5743,2757,5123,2180,4090,7203,4495,13388,4203,3894,5427
"ENSG00000001036.13",1517,1415,1047,850,1543,1586,1472,1060,2531,1416,1289
"ENSG00000001084.10",1133,2607,2508,3795,2486,6534,1813,1743,1537,1695,3364
"ENSG00000001167.14",652,731,450,385,567,708,469,479,581,504,496
"ENSG00000001460.17",224,180,300,205,217,330,194,172,233,242,291
"ENSG00000001461.16",1338,2807,4330,3679,3326,3475,2321,1636,2920,2439,4255
"ENSG00000001497.16",562,498,527,604,612,765,623,351,573,651,623
"ENSG00000001561.6",162,195,259,182,229,337,165,214,193,182,189
"ENSG00000001617.11",571,599,1226,1504,1101,2384,823,492,526,387,644
"ENSG00000001626.14",0,11,2,31,22,0,0,7,53,0,2
"ENSG00000001629.9",2538,2459,2000,1596,2051,2474,1935,1416,2525,2425,2271
"ENSG00000001630.15",147,154,102,146,182,162,146,140,116,68,102
"ENSG00000001631.15",1097,833,566,673,629,1067,736,607,723,748,735
"ENSG00000002016.17",200,169,110,146,136,152,135,115,121,86,135
"ENSG00000002079.14",1,1,0,1,0,0,0,0,1,0,0
"ENSG00000002330.13",983,876,964,826,1137,885,967,620,1063,1328,990
"ENSG00000002549.12",1304,1621,2248,1812,1938,2813,1958,1524,2091,1898,2498
"ENSG00000002586.18",2,1,2,1,3,2,2,0,1,3,0
"ENSG00000002586.18_PAR_Y",280,1315,160,75,103,116,949,57,2796,1913,138
"ENSG00000002587.9",188,159,145,113,105,234,87,62,142,61,142
"ENSG00000002726.20",4,31384,16,24,9531,0,7,73,48025,4,86
"ENSG00000002745.12",478,40,5,9,28,17,152,50,124,16,59
"ENSG00000002746.14",40,105,9,63,137,41,160,202,85,19,65
"ENSG00000002822.15",447,415,311,367,457,539,499,345,417,514,422
"ENSG00000002834.17",6808,7291,5660,5307,7797,7762,7568,6413,7259,7250,6905
"ENSG00000002919.14",442,463,559,497,586,765,489,364,517,563,625
"ENSG00000002933.7",198,542,416,583,880,242,198,903,729,460,472
"ENSG00000003056.7",1405,2050,1794,1408,1859,2537,1668,1427,1878,1743,1781
"ENSG00000003096.14",2300,377,570,234,684,561,717,370,694,1201,785
"ENSG00000003137.8",165,241,78,390,390,502,300,1180,704,199,242
"ENSG00000003147.17",149,118,116,170,190,188,155,163,134,102,134
"ENSG00000003249.13",10,26,21,38,40,5,15,18,38,19,52
"ENSG00000003393.14",833,672,630,685,663,771,670,515,730,692,640
"ENSG00000003400.14",595,476,350,617,506,652,603,600,451,424,507
"ENSG00000003402.19",4795,7292,5027,5996,5654,8927,5605,4662,5530,5201,5130
"ENSG00000003436.15",2834,3383,1424,4065,3454,4355,2734,2547,3289,1408,1485
"ENSG00000003509.15",311,278,357,224,299,367,256,178,231,310,339
"ENSG00000003756.16",2171,1714,1160,1690,1356,1850,1673,1269,1341,1532,1461
"ENSG00000003987.13",8,8,1,4,7,6,2,6,26,2,2
"ENSG00000003989.17",2110,2221,344,1496,4984,2907,512,2681,4876,675,544
"ENSG00000004059.10",1293,831,1133,765,1153,1211,1115,764,1083,1419,1341
"ENSG00000004139.13",1133,802,1000,982,1177,1409,1093,747,990,856,1159
"ENSG00000004142.11",1635,1566,2074,1420,1890,2422,1770,1046,1772,2159,2347
"ENSG00000004399.12",7181,8135,5153,5549,7885,6170,7751,7834,7106,7390,6418
"ENSG00000004455.16",1402,1628,1573,1789,1589,2292,1316,1188,1397,1305,1568
"ENSG00000004468.12",75,141,88,132,152,378,81,85,199,68,79
"ENSG00000004478.7",1369,2207,1785,1817,1972,2473,1375,1055,1695,1386,1863
"ENSG00000004487.15",1838,1570,1237,1177,1437,1954,1467,996,1666,1792,1457
"ENSG00000004534.14",1697,1449,1055,1466,1222,1602,1317,1008,1096,1503,1196
"ENSG00000004660.14",471,261,288,424,275,409,644,335,359,754,329
"ENSG00000004700.15",2031,1509,1718,1235,1675,2886,1782,1344,1472,1723,1936
"ENSG00000004766.15",521,533,472,400,414,641,435,347,454,484,499
"ENSG00000004776.12",49573,18872,74511,46127,37010,44420,57567,15457,46377,79593,56848
"ENSG00000004777.18",216,81,67,95,65,114,151,74,83,158,92
"ENSG00000004779.9",639,594,741,532,831,1145,585,456,594,673,916
"ENSG00000004799.7",5248,1112,2523,572,509,4778,1744,844,1275,4499,2394
"ENSG00000004809.13",0,5,9,11,0,28,1,3,8,9,12
"ENSG00000004838.13",22,20,63,22,36,11,32,24,26,29,37
"ENSG00000004846.16",9,12,3,8,7,0,3,2,8,4,2
"ENSG00000004848.7",0,0,0,1,0,0,0,0,16,0,0
"ENSG00000004864.13",395,540,418,424,423,740,424,308,491,374,485
"ENSG00000004866.20",434,596,373,425,436,556,426,418,537,396,353
"ENSG00000004897.11",2642,2199,1811,1695,1983,3521,1899,1601,1842,2164,2248
"ENSG00000004939.13",173,123,54,390,149,261,307,129,225,832,180
"ENSG00000004948.13",3,7,2,8,7,3,3,10,20,9,10
"ENSG00000004961.14",311,469,490,415,494,664,368,363,436,444,502
"ENSG00000004975.11",1818,741,938,984,910,847,1415,579,1039,1521,1255
"ENSG00000005001.9",0,323,5,26,117,0,2,30,403,0,0
"ENSG00000005007.12",2827,3138,2902,2108,2952,3488,3192,2069,3115,3371,3528
"ENSG00000005020.12",425,761,470,465,609,819,477,538,569,632,490
"ENSG00000005022.5",1709,1760,1765,1364,1871,3264,1750,1026,1867,2317,2467
"ENSG00000005059.15",153,324,283,253,311,840,297,186,215,192,263
"ENSG00000005073.5",1912,1062,1943,838,1939,1212,2137,1087,1775,2368,2337
"ENSG00000005075.15",356,296,317,311,385,490,368,234,380,487,467
"ENSG00000005100.12",644,670,613,449,550,1013,635,481,586,691,687
"ENSG00000005102.12",369,69,325,9,253,198,246,124,142,258,304
"ENSG00000005108.15",2143,732,732,929,1862,1393,2671,1389,2132,1000,1186
"ENSG00000005156.11",1665,1242,1153,755,1058,1628,1236,874,1388,1613,1531
"ENSG00000005175.9",696,451,522,394,476,757,449,296,524,609,510
"ENSG00000005187.11",134,20,18,62,63,45,71,28,77,84,25
"ENSG00000005189.19",91,31,47,51,48,53,66,33,57,62,98
"ENSG00000005194.14",401,498,401,343,461,688,438,354,405,462,469
"ENSG00000005206.16",648,474,507,328,436,597,558,303,527,719,673
"ENSG00000005238.19",766,951,989,980,854,1232,1063,617,777,1283,1019
"ENSG00000005243.9",1847,746,1377,1032,1263,1275,1449,770,1017,2494,1692
"ENSG00000005249.12",292,166,81,87,154,223,186,131,182,171,125
"ENSG00000005302.17",760,733,814,607,684,1236,695,470,725,848,860
"ENSG00000005339.14",7464,4965,3977,4213,4610,5392,5381,3547,5343,6469,5382
"ENSG00000005379.15",663,195,295,294,263,165,521,221,237,646,227
"ENSG00000005381.7",9,10,10,11,6,10,0,5,7,5,3
"ENSG00000005421.8",0,0,1,0,0,0,0,0,1,1,0
"ENSG00000005436.13",356,234,198,241,248,286,244,151,184,203,146
"ENSG00000005448.16",138,152,115,246,158,169,132,143,149,131,152
"ENSG00000005469.11",373,216,192,153,267,265,261,216,264,324,258
"ENSG00000005471.15",21,7,8,5,5,12,11,27,10,6,6
"ENSG00000005483.20",4812,3087,2570,3471,3234,3801,3134,2948,2985,3697,3182
"ENSG00000005486.16",620,653,517,450,687,690,613,712,823,621,585
"ENSG00000005513.9",29,9,12,12,8,21,12,10,15,5,4
"ENSG00000005700.14",2077,1665,1403,1181,1533,3061,1097,1081,1343,1721,1600
"ENSG00000005801.16",285,391,250,283,327,445,250,215,239,184,209
"ENSG00000005810.17",7374,6165,6752,5674,6020,8385,6416,4717,6479,7141,7191
