"","Sample_3TR","Sample_9TR","Sample_21TR","Sample_24TR","Sample_31TR","Sample_32TR","Sample_38TR","Sample_41TR","Sample_43TR","Sample_49TR","Sample_50TR"
"chr1:805799|810170",9,0,0,2,3,6,0,0,0,3,0
"chr1:1223244|1223968",15,2,17,7,8,5,3,5,8,14,9
"chr1:1793245|1817875",2,0,0,0,0,0,0,0,0,0,3
"chr1:1804419|1817875",8,3,7,6,12,5,2,6,10,8,8
"chr1:1815756|1839238",4,0,2,0,6,7,6,2,5,4,3
"chr1:1825397|1839238",3,2,0,0,0,0,0,0,2,0,0
"chr1:7777160|7778169",26,21,20,17,32,15,23,19,32,34,19
"chr1:8465925|8557523",2,0,0,0,0,0,0,0,0,0,0
"chr1:8465925|8614686",4,0,4,0,2,0,0,0,4,4,0
"chr1:8495063|8541318",6,0,2,0,5,4,0,0,0,0,0
"chr1:8495063|8557523",11,0,5,4,6,7,10,0,3,15,11
"chr1:8495063|8614686",13,2,3,6,9,7,10,0,5,15,5
"chr1:8508627|8557523",6,2,2,4,5,7,9,0,3,11,5
"chr1:8541214|8557523",10,6,3,0,2,11,11,6,10,9,8
"chr1:8541214|8614686",13,4,10,8,12,11,17,5,17,24,11
"chr1:8655973|8656441",11,5,9,11,9,5,7,5,10,6,10
"chr1:9931891|9934860",6,9,9,12,10,3,8,6,3,11,9
"chr1:9931891|9935627",2,0,0,5,4,0,0,2,2,6,6
"chr1:10134988|10137205",2,0,0,0,0,2,0,0,2,0,0
"chr1:10261905|10272306",2,0,0,0,0,0,0,0,0,0,0
"chr1:10267380|10268263",2,0,0,0,0,0,0,0,0,0,0
"chr1:12001401|12002103",6,0,4,8,8,2,2,4,0,8,0
"chr1:12234191|12253826",2,0,0,0,0,0,0,0,0,0,0
"chr1:12249223|12253826",3,0,0,0,0,0,0,0,0,0,0
"chr1:12275825|12278038",14,6,0,14,11,4,7,7,7,9,5
"chr1:12578718|12579412",5,3,2,5,2,0,3,0,3,4,3
"chr1:12578718|12580666",2,0,0,0,0,0,0,0,2,0,0
"chr1:13715541|13749487",3,0,0,2,0,4,0,0,0,0,2
"chr1:13731000|13742157",6,0,0,3,5,5,0,3,0,3,4
"chr1:13731000|13749487",6,3,7,0,8,0,3,2,2,4,0
"chr1:13769118|13773188",2,2,0,0,0,0,0,0,0,0,0
"chr1:13769118|13782831",4,6,9,8,9,7,8,4,7,17,20
"chr1:13773078|13782831",5,11,17,9,15,9,15,3,14,17,22
"chr1:13778418|13782831",4,4,8,8,10,5,4,0,8,17,2
"chr1:15534237|15536814",8,0,2,2,2,5,0,3,2,2,2
"chr1:15638307|15643650",7,2,0,4,6,6,5,0,6,0,6
"chr1:15638307|15651895",2,0,0,2,0,0,0,5,0,2,0
"chr1:15649720|15651895",2,0,0,0,2,0,0,0,0,0,0
"chr1:15717893|15721388",8,5,7,3,14,4,12,4,16,13,7
"chr1:15719734|15721388",4,0,3,2,0,2,0,0,0,0,2
"chr1:16201782|16202574",5,0,0,0,6,0,6,0,4,0,0
"chr1:20749723|20773610",4,0,3,0,4,0,2,0,4,3,4
"chr1:20757166|20773610",5,2,5,8,13,6,6,4,9,2,6
"chr1:20770930|20773610",6,3,9,10,8,10,6,7,6,12,9
"chr1:20840856|20865262",2,0,2,0,0,0,2,0,2,0,2
"chr1:20904883|20942330",2,2,2,0,3,0,0,3,0,0,2
"chr1:20969474|20981227",3,2,6,8,8,6,10,3,7,13,5
"chr1:20969474|21002808",3,0,6,4,3,3,2,2,5,2,4
"chr1:20997601|21111383",2,0,0,0,0,0,0,0,3,0,0
"chr1:21050866|21089213",2,0,0,4,0,0,3,0,0,0,0
"chr1:21050866|21111383",10,5,9,3,3,8,3,0,3,4,7
"chr1:21272699|21290156",3,0,0,0,2,0,0,0,0,3,0
"chr1:21680808|21695221",2,0,0,0,0,0,0,2,2,0,0
"chr1:21715389|21721764",5,4,0,4,2,4,0,0,2,5,0
"chr1:21721036|21721764",3,0,0,3,0,0,0,2,0,0,3
"chr1:22078429|22086866",2,3,0,3,6,2,0,5,3,0,4
"chr1:23030469|23050520",22,13,19,15,31,15,8,15,0,17,10
"chr1:23030469|23059167",4,5,2,9,0,2,2,4,8,3,4
"chr1:23071225|23072197",8,2,0,0,5,3,2,2,0,2,4
"chr1:23750845|23752518",2,0,0,0,0,0,0,0,0,0,0
"chr1:24514314|24514567",3,2,6,4,4,0,0,0,10,6,9
"chr1:25227442|25228235",2,0,0,0,0,0,0,0,0,0,0
"chr1:25340474|25351693",3,2,3,5,7,4,3,5,3,7,3
"chr1:26446316|26447660",8,9,12,4,6,5,4,6,0,6,7
"chr1:26729651|26732792",34,14,15,22,26,19,21,12,19,28,17
"chr1:26942660|26943065",13,0,13,10,9,4,6,4,12,12,5
"chr1:27105885|27109777",3,0,0,3,0,0,0,2,2,2,0
"chr1:27789562|27793632",2,0,2,2,2,0,2,0,0,3,0
"chr1:28027789|28048426",2,0,0,0,0,0,0,0,0,0,0
"chr1:28035544|28058094",4,4,0,4,5,4,2,0,3,2,2
"chr1:28459085|28466535",11,0,8,17,0,8,10,6,5,17,19
"chr1:28476107|28480604",5,0,0,0,0,0,0,0,0,0,0
"chr1:28605372|28622165",3,0,0,0,0,0,0,0,0,0,0
"chr1:28742403|28743986",5,5,2,0,0,4,0,4,9,6,3
"chr1:29148080|29154910",5,4,0,0,0,2,0,0,4,5,2
"chr1:29154696|29154910",9,8,11,4,15,8,6,12,17,9,6
"chr1:30992390|30995220",2,2,2,0,7,4,4,4,4,5,2
"chr1:30992390|31007102",4,2,6,0,3,0,0,4,0,3,0
"chr1:31337175|31348974",2,0,2,2,0,3,0,3,3,6,0
"chr1:31583461|31585485",2,3,0,0,0,2,0,0,0,4,0
"chr1:31915895|31919658",18,12,23,21,25,23,16,7,37,17,26
"chr1:32030298|32033334",3,0,0,0,0,0,0,0,0,0,0
"chr1:32030298|32038619",2,0,0,0,0,0,0,0,0,0,5
"chr1:32592931|32593754",2,0,0,0,0,4,0,0,0,0,4
"chr1:32684010|32684382",3,0,0,0,0,0,0,0,0,5,0
"chr1:32948222|32949774",4,0,12,8,19,9,7,7,9,10,13
"chr1:33294937|33295305",12,5,5,9,8,5,8,7,6,20,4
"chr1:33370692|33371270",2,0,0,0,0,0,0,0,0,2,0
"chr1:35093914|35110447",2,0,0,0,0,0,0,0,0,0,0
"chr1:35358925|35361789",26,9,14,9,8,11,9,9,17,18,12
"chr1:35381259|35389082",2,0,0,0,6,2,2,0,5,4,0
"chr1:35381259|35390098",2,3,0,0,0,0,0,0,0,3,0
"chr1:35413972|35415714",2,3,2,3,0,6,2,3,4,0,3
"chr1:35470863|35479212",3,2,4,5,5,3,3,3,2,0,5
"chr1:35474805|35479212",3,0,0,0,3,0,0,0,0,2,0
"chr1:35478966|35479212",3,3,2,2,2,2,0,2,4,2,5
"chr1:35901474|35902337",2,0,0,0,0,0,0,0,0,0,0
"chr1:36361221|36362656",7,4,8,8,11,5,3,2,8,12,15
"chr1:39322608|39327353",3,0,0,0,0,2,0,0,2,0,3
"chr1:39853970|39857417",4,0,2,7,5,0,5,2,4,3,5
"chr1:40064227|40064559",6,6,6,6,6,5,6,3,8,9,4
"chr1:40189055|40202614",9,5,3,0,0,3,4,3,0,5,2
"chr1:40267786|40272035",7,3,3,0,0,0,2,0,0,5,0
"chr1:41070595|41075451",50,22,28,28,22,35,31,29,36,56,35
"chr1:41113283|41117010",2,0,0,0,0,2,0,0,0,3,0
"chr1:41142878|41152741",2,0,0,0,0,0,0,0,0,2,0
"chr1:41575544|41585318",2,0,2,0,0,0,0,0,2,0,0
"chr1:42265115|42278672",5,0,3,4,2,3,3,0,4,4,3
"chr1:42265115|42311110",6,3,0,0,5,0,0,0,11,2,0
"chr1:42265115|42323827",2,2,2,3,5,3,3,0,0,2,0
"chr1:42773563|42775479",2,0,3,0,0,0,0,0,4,3,3
"chr1:44308310|44339322",4,2,0,0,0,3,3,0,0,6,0
"chr1:45640210|45642499",15,7,9,13,11,10,13,5,12,6,12
"chr1:45659028|45661225",3,2,4,3,0,2,2,0,0,0,2
"chr1:46055795|46080750",6,0,0,0,0,3,2,2,2,0,3
"chr1:47368469|47375293",4,3,5,7,4,2,0,0,0,4,0
"chr1:48011530|48097236",2,0,0,0,0,3,0,0,0,0,0
"chr1:48355670|48359770",9,0,4,5,3,4,5,4,0,6,2
"chr1:50655442|50744775",5,0,3,2,0,4,0,0,0,2,0
"chr1:51394381|51421858",3,0,0,0,4,0,3,3,0,0,0
"chr1:51394381|51448135",3,3,0,2,3,3,5,0,0,3,4
"chr1:51402435|51408332",4,2,7,6,4,3,2,6,6,0,4
"chr1:51402435|51465326",3,0,2,2,0,0,0,0,2,0,0
"chr1:51461091|51465326",3,0,0,3,5,2,0,5,3,2,2
"chr1:51827796|51834170",2,3,0,5,0,3,4,4,8,4,3
"chr1:52493611|52509712",6,3,4,0,2,2,5,3,3,3,3
"chr1:52509596|52526373",2,0,0,0,0,0,0,2,2,0,0
"chr1:52515891|52526373",6,2,0,2,6,0,3,0,5,8,4
"chr1:52954740|52961629",2,0,0,3,0,0,0,0,0,0,0
"chr1:54040756|54043525",2,4,3,0,2,2,0,0,0,0,2
"chr1:56511976|56524554",3,0,0,0,0,0,0,0,2,0,0
"chr1:58506060|58534331",4,2,0,0,0,3,0,0,4,0,0
"chr1:58506060|58536741",5,2,2,8,0,5,0,0,7,10,4
"chr1:59321536|59346398",7,7,12,6,13,12,8,5,9,5,11
"chr1:59321536|59378837",11,3,4,9,7,9,4,4,4,15,6
"chr1:59321536|59512439",2,0,0,0,0,0,0,0,0,0,0
"chr1:59339958|59346398",5,0,0,5,0,2,0,0,2,0,0
"chr1:59339958|59378837",16,9,16,10,18,15,12,5,12,10,10
