"","Sample_3TR","Sample_9TR","Sample_21TR","Sample_24TR","Sample_31TR","Sample_32TR","Sample_38TR","Sample_41TR","Sample_43TR","Sample_49TR","Sample_50TR"
"chr1:805799|810170",49,19,12,69,91,9,0,65,51,26,29
"chr1:955923|957273",0,0,10,0,15,0,0,4,0,5,0
"chr1:1223244|1223968",57,22,13,28,32,40,19,30,45,26,26
"chr1:1648995|1716478",0,0,0,4,4,0,0,0,0,0,0
"chr1:1649499|1657498",0,0,0,0,3,0,0,0,0,0,4
"chr1:1649499|1722831",0,0,0,0,5,4,0,0,0,0,0
"chr1:1655369|1657498",0,3,0,3,4,0,0,3,2,0,0
"chr1:1668327|1670151",10,0,0,0,3,0,0,0,0,0,0
"chr1:1668327|1676846",0,0,0,0,5,0,0,0,0,0,0
"chr1:1716151|1716478",0,0,0,3,8,9,0,0,0,0,0
"chr1:1804419|1815862",11,14,14,9,7,15,14,10,8,11,0
"chr1:1804419|1817875",86,28,71,73,188,58,154,139,76,82,41
"chr1:1815756|1825499",35,0,10,23,34,0,15,0,16,3,25
"chr1:1815756|1839238",42,45,20,22,49,62,75,52,0,28,30
"chr1:2395784|2400935",11,0,0,0,14,0,0,0,0,0,0
"chr1:5947104|5961949",0,0,14,0,8,9,0,0,0,4,0
"chr1:5961794|5969259",5,0,5,0,5,0,19,0,0,7,0
"chr1:5961794|5986327",16,0,0,0,19,0,0,0,3,7,0
"chr1:6667709|6681037",4,4,16,0,11,0,0,20,0,7,6
"chr1:6820181|6888899",15,0,12,0,17,0,0,0,9,15,16
"chr1:7777160|7778169",42,42,23,42,35,19,22,20,50,101,33
"chr1:7937690|7940078",0,0,0,0,8,0,0,0,0,0,0
"chr1:8422727|8557523",0,0,0,0,9,0,0,0,0,6,0
"chr1:8465925|8541318",0,0,5,4,13,7,20,0,16,14,6
"chr1:8465925|8557523",0,0,6,4,10,0,7,0,0,0,0
"chr1:8465925|8614686",22,0,12,10,9,19,23,26,0,28,7
"chr1:8495063|8541318",35,16,37,15,45,30,25,25,56,28,26
"chr1:8495063|8557523",118,33,101,31,116,96,142,87,69,150,75
"chr1:8495063|8614686",93,22,25,34,69,40,56,78,35,111,85
"chr1:8508627|8557523",49,14,5,22,17,32,59,29,27,76,57
"chr1:8508627|8614686",20,0,18,0,29,10,36,0,19,0,9
"chr1:8541214|8557523",59,0,24,28,37,35,30,22,39,82,36
"chr1:8541214|8614686",197,47,70,51,233,118,171,200,151,252,162
"chr1:8541214|8624380",0,0,0,0,8,0,7,0,0,9,7
"chr1:8614561|8624380",0,0,0,0,8,0,0,0,14,6,0
"chr1:8614561|8656441",5,7,0,0,4,5,0,0,0,6,7
"chr1:8655973|8656441",0,8,14,7,21,0,7,0,9,0,13
"chr1:8866279|8867250",0,0,0,0,3,2,0,0,0,2,0
"chr1:9192739|9193661",0,0,0,0,4,0,0,0,2,0,0
"chr1:9749461|9756510",0,0,0,0,3,0,0,0,4,0,0
"chr1:9755114|9756510",21,7,0,7,15,0,0,2,4,9,6
"chr1:9871187|9877989",11,0,0,8,12,0,8,0,7,3,7
"chr1:9931891|9934860",87,46,0,0,87,58,49,58,54,101,21
"chr1:9931891|9935627",51,9,30,19,58,19,54,37,50,33,38
"chr1:9972018|9975775",0,13,8,0,4,0,0,0,6,0,0
"chr1:9972018|9981170",29,14,11,0,11,11,37,0,0,0,50
"chr1:10095461|10105744",38,16,5,29,50,7,37,16,27,38,34
"chr1:10117459|10130813",0,0,0,0,5,0,0,0,0,3,0
"chr1:10117459|10132482",0,0,0,0,2,0,0,0,0,0,0
"chr1:10117459|10135186",0,0,0,0,6,0,5,0,6,0,0
"chr1:10256247|10261970",9,0,0,0,11,0,15,0,0,0,0
"chr1:10267380|10268263",0,5,0,9,7,11,0,28,9,8,2
"chr1:10271502|10292122",0,0,0,0,11,0,0,0,0,0,0
"chr1:10275428|10282533",18,0,6,10,6,12,0,0,6,13,13
"chr1:10291082|10297246",0,0,0,0,13,16,0,16,10,0,0
"chr1:10345845|10348733",0,0,3,0,12,0,0,0,2,0,0
"chr1:10363283|10365648",11,0,0,0,12,0,0,0,0,12,0
"chr1:10363283|10375373",3,4,0,0,2,0,0,0,4,0,0
"chr1:10365100|10365648",0,0,0,0,3,6,0,0,0,0,0
"chr1:10440347|10442441",13,0,0,5,10,24,14,10,0,11,17
"chr1:10467190|10469338",5,0,0,5,8,0,0,0,5,12,0
"chr1:11070900|11076948",0,0,4,5,17,0,35,0,11,13,11
"chr1:11090554|11091597",15,0,0,0,5,0,0,26,5,0,8
"chr1:11109290|11115468",0,0,0,0,6,0,0,0,0,0,0
"chr1:11124498|11133197",5,2,0,0,18,9,0,0,0,0,6
"chr1:11947976|11950520",0,0,2,0,4,0,0,0,0,0,0
"chr1:11970670|11972997",0,0,0,0,6,0,0,0,0,0,0
